Cernox X115076,
Temperature (Kelvin),Resistance (Ohms)
1.203821943,12255.70775
1.300408414,10434.81568
1.400241727,9014.937533
1.598329868,7048.511549
1.800920252,5740.497896
2.004645839,4836.764175
2.200059336,4204.72166
2.400637369,3710.847815
2.596232013,3334.101002
2.798943015,3020.341555
2.998137429,2769.349384
3.20041969,2556.986074
3.400057354,2380.510484
3.598509779,2230.533018
3.799969607,2098.794783
4.000392111,1984.57882
4.201381935,1883.588672
4.613230544,1711.183689
5.010471575,1576.406301
5.510167738,1439.352049
6.205851362,1291.013128
7.109817632,1146.351813
8.121125133,1025.922578
9.13018049,933.7670753
10.1496092,859.7767706
11.17037582,799.182288
12.18577305,748.8348409
13.18945895,706.335007
14.18376437,669.8291054
15.17352059,637.9075933
16.15392737,609.726701
17.12274898,584.701991
18.09502473,561.9746039
19.07059447,541.2362743
20.04337393,522.2256024
21.12165641,502.9415561
22.72058971,477.2236468
24.32568462,454.2144622
25.95867323,433.2793669
27.60248638,414.269122
29.24520689,397.006072
31.0826245,379.5165477
33.21434063,361.2069673
36.23101387,338.3547883
39.23974066,318.4625418
42.24326045,301.0079157
45.24051917,285.5133286
48.2447393,271.6199067
50.23839172,263.1692753
55.23479384,244.2687584
60.22524959,228.0794649
65.22079146,213.9993178
70.21176336,201.6616597
75.20285786,190.7497515
80.19605552,180.9831122
85.19905605,172.2009773
90.18495182,164.2760553
95.17554086,157.0614897
100.1844133,150.4499269
110.1788216,138.825483
120.1463546,128.9060579
130.154848,120.2979135
140.1491043,112.7814564
150.1413385,106.1526607
160.1435172,100.2778663
170.1470018,95.02345351
180.1502901,90.30104803
190.1501323,86.04348924
200.1432034,82.1850866
210.1362666,78.67844449
220.1406346,75.47085762
230.1388602,72.54308032
240.1243647,69.83924973
250.1342403,67.349033
260.1351133,65.05224016
270.1378335,62.92526722
280.130743,60.95140356
290.1446026,59.11134942
300.1376218,57.40327512
310.1490738,55.80531116
315.1512349,55.04916633
320.1450947,54.31530191
326.1404581,53.46999432
330.157548,52.91622113
